iter	Passed	Remaining
0	35	35321
1	76	38129
2	114	38055
3	152	37873
4	189	37804
5	223	37064
6	247	35143
7	266	33077
8	284	31361
9	302	29974
10	321	28937
11	339	27984
12	357	27132
13	375	26434
14	393	25813
15	411	25281
16	428	24778
17	446	24332
18	465	24017
19	484	23754
20	502	23410
21	520	23118
22	538	22854
23	555	22590
24	573	22365
25	592	22185
26	610	21992
27	628	21813
28	646	21634
29	663	21468
30	682	21324
31	700	21177
32	719	21070
33	737	20947
34	755	20831
35	773	20704
36	790	20572
37	808	20476
38	826	20361
39	843	20247
40	861	20145
41	878	20046
42	896	19949
43	914	19866
44	931	19767
45	948	19670
46	967	19613
47	984	19529
48	1002	19465
49	1020	19393
50	1038	19322
51	1056	19254
52	1073	19180
53	1091	19113
54	1109	19065
55	1128	19016
56	1145	18953
57	1163	18892
58	1180	18833
59	1198	18778
60	1217	18744
61	1235	18692
62	1253	18640
63	1270	18580
64	1288	18530
65	1306	18494
66	1324	18445
67	1343	18416
68	1360	18358
69	1378	18310
70	1395	18263
71	1413	18222
72	1431	18177
73	1448	18127
74	1466	18092
75	1484	18047
76	1501	18003
77	1520	17967
78	1537	17920
79	1554	17874
80	1571	17828
81	1589	17797
82	1607	17761
83	1625	17722
84	1643	17693
85	1659	17639
86	1678	17610
87	1695	17570
88	1714	17547
89	1731	17509
90	1750	17481
91	1767	17448
92	1785	17409
93	1802	17374
94	1819	17337
95	1837	17305
96	1854	17265
97	1872	17232
98	1889	17200
99	1907	17170
100	1925	17138
101	1942	17105
102	1960	17076
103	1978	17046
104	1995	17012
105	2013	16979
106	2030	16942
107	2048	16915
108	2065	16887
109	2083	16854
110	2100	16821
111	2118	16792
112	2135	16760
113	2151	16722
114	2169	16694
115	2186	16664
116	2205	16641
117	2223	16620
118	2240	16589
119	2258	16562
120	2275	16531
121	2293	16502
122	2312	16490
123	2330	16463
124	2348	16436
125	2365	16405
126	2382	16373
127	2399	16344
128	2416	16317
129	2433	16288
130	2451	16259
131	2470	16247
132	2488	16222
133	2506	16197
134	2524	16174
135	2541	16146
136	2559	16122
137	2577	16097
138	2595	16077
139	2613	16052
140	2630	16025
141	2647	15999
142	2665	15973
143	2683	15949
144	2701	15928
145	2721	15921
146	2739	15898
147	2753	15848
148	2770	15821
149	2787	15794
150	2804	15767
151	2817	15717
152	2830	15670
153	2848	15647
154	2862	15606
155	2881	15588
156	2895	15545
157	2908	15499
158	2925	15474
159	2942	15448
160	2956	15407
161	2971	15369
162	2989	15350
163	3002	15305
164	3015	15261
165	3032	15236
166	3045	15193
167	3063	15170
168	3076	15128
169	3092	15099
170	3110	15077
171	3123	15036
172	3141	15017
173	3154	14973
174	3167	14931
175	3180	14891
176	3197	14868
177	3216	14853
178	3230	14815
179	3243	14777
180	3257	14737
181	3274	14718
182	3287	14678
183	3306	14662
184	3323	14639
185	3340	14620
186	3353	14581
187	3367	14543
188	3384	14523
189	3397	14486
190	3415	14468
191	3429	14432
192	3442	14395
193	3455	14357
194	3469	14322
195	3483	14288
196	3496	14254
197	3510	14218
198	3523	14181
199	3536	14144
200	3549	14108
201	3562	14073
202	3576	14040
203	3589	14007
204	3603	13975
205	3616	13939
206	3629	13903
207	3641	13867
208	3654	13832
209	3668	13799
210	3681	13766
211	3694	13731
212	3709	13704
213	3722	13673
214	3735	13639
215	3749	13610
216	3763	13578
217	3776	13545
218	3789	13512
219	3802	13481
220	3815	13449
221	3829	13419
222	3842	13387
223	3855	13355
224	3868	13323
225	3881	13293
226	3894	13262
227	3908	13233
228	3921	13202
229	3934	13172
230	3947	13141
231	3962	13118
232	3976	13089
233	3989	13060
234	4002	13029
235	4015	13000
236	4028	12970
237	4042	12941
238	4055	12911
239	4068	12883
240	4081	12854
241	4094	12825
242	4107	12795
243	4119	12765
244	4133	12737
245	4146	12709
246	4159	12680
247	4172	12652
248	4185	12623
249	4198	12595
250	4212	12571
251	4226	12543
252	4239	12516
253	4251	12486
254	4265	12460
255	4279	12436
256	4293	12412
257	4308	12389
258	4321	12363
259	4334	12337
260	4347	12310
261	4361	12284
262	4374	12258
263	4387	12232
264	4400	12206
265	4418	12192
266	4431	12166
267	4445	12142
268	4459	12119
269	4473	12094
270	4486	12069
271	4499	12044
272	4513	12018
273	4526	11994
274	4540	11969
275	4553	11945
276	4567	11922
277	4581	11898
278	4595	11875
279	4608	11850
280	4621	11824
281	4634	11799
282	4647	11774
283	4660	11750
284	4673	11724
285	4686	11700
286	4700	11678
287	4713	11653
288	4727	11629
289	4740	11605
290	4753	11581
291	4766	11557
292	4779	11533
293	4794	11513
294	4807	11490
295	4821	11466
296	4834	11443
297	4847	11419
298	4860	11395
299	4873	11372
300	4887	11349
301	4900	11325
302	4913	11302
303	4926	11278
304	4939	11254
305	4953	11234
306	4966	11211
307	4979	11188
308	4993	11166
309	5006	11142
310	5019	11119
311	5032	11096
312	5045	11073
313	5058	11051
314	5071	11028
315	5084	11006
316	5098	10984
317	5111	10961
318	5124	10939
319	5137	10917
320	5150	10895
321	5163	10873
322	5177	10850
323	5190	10829
324	5204	10808
325	5217	10786
326	5230	10764
327	5243	10742
328	5256	10720
329	5269	10698
330	5282	10677
331	5296	10656
332	5308	10633
333	5322	10613
334	5335	10592
335	5349	10570
336	5362	10549
337	5375	10528
338	5388	10506
339	5401	10485
340	5414	10464
341	5427	10442
342	5441	10423
343	5455	10404
344	5469	10383
345	5482	10362
346	5495	10341
347	5508	10320
348	5521	10298
349	5533	10277
350	5546	10255
351	5560	10235
352	5573	10215
353	5586	10195
354	5599	10174
355	5612	10153
356	5625	10131
357	5638	10112
358	5651	10091
359	5665	10071
360	5678	10051
361	5691	10030
362	5705	10011
363	5718	9991
364	5731	9971
365	5744	9950
366	5757	9929
367	5769	9909
368	5782	9889
369	5795	9868
370	5808	9847
371	5821	9827
372	5834	9807
373	5847	9786
374	5860	9767
375	5873	9747
376	5886	9727
377	5899	9707
378	5911	9686
379	5924	9665
380	5936	9645
381	5950	9627
382	5964	9608
383	5977	9588
384	5989	9568
385	6002	9548
386	6014	9527
387	6027	9507
388	6040	9488
389	6053	9467
390	6066	9448
391	6078	9428
392	6091	9408
393	6104	9388
394	6117	9369
395	6130	9349
396	6142	9330
397	6155	9310
398	6168	9291
399	6181	9272
400	6195	9255
401	6208	9235
402	6221	9215
403	6233	9196
404	6246	9177
405	6259	9157
406	6271	9138
407	6284	9119
408	6297	9099
409	6310	9080
410	6323	9061
411	6336	9043
412	6349	9024
413	6361	9005
414	6376	8987
415	6388	8968
416	6402	8950
417	6415	8932
418	6427	8913
419	6442	8896
420	6455	8878
421	6468	8859
422	6481	8841
423	6494	8823
424	6507	8804
425	6520	8786
426	6533	8767
427	6547	8750
428	6560	8732
429	6574	8714
430	6587	8696
431	6600	8678
432	6613	8660
433	6626	8641
434	6639	8623
435	6652	8605
436	6665	8587
437	6678	8568
438	6692	8552
439	6705	8534
440	6718	8516
441	6731	8498
442	6744	8480
443	6757	8462
444	6770	8443
445	6782	8425
446	6795	8407
447	6808	8389
448	6821	8371
449	6834	8352
450	6847	8335
451	6859	8316
452	6872	8298
453	6885	8280
454	6898	8263
455	6911	8245
456	6925	8228
457	6938	8211
458	6952	8194
459	6966	8177
460	6979	8160
461	6992	8142
462	7005	8125
463	7018	8107
464	7030	8089
465	7043	8071
466	7057	8054
467	7070	8036
468	7083	8019
469	7096	8002
470	7109	7984
471	7122	7967
472	7135	7949
473	7148	7932
474	7160	7914
475	7173	7896
476	7188	7881
477	7201	7864
478	7214	7847
479	7227	7829
480	7240	7812
481	7253	7794
482	7266	7777
483	7280	7761
484	7292	7744
485	7305	7726
486	7319	7709
487	7332	7692
488	7345	7675
489	7358	7658
490	7370	7641
491	7383	7623
492	7395	7605
493	7408	7588
494	7421	7571
495	7435	7555
496	7448	7538
497	7461	7521
498	7474	7504
499	7486	7486
500	7499	7469
501	7512	7452
502	7524	7434
503	7537	7417
504	7550	7401
505	7563	7384
506	7577	7368
507	7590	7351
508	7603	7334
509	7615	7317
510	7628	7299
511	7640	7282
512	7653	7265
513	7666	7249
514	7679	7232
515	7694	7217
516	7707	7200
517	7719	7183
518	7732	7166
519	7745	7149
520	7758	7132
521	7770	7115
522	7783	7098
523	7795	7081
524	7809	7065
525	7821	7048
526	7834	7031
527	7847	7014
528	7859	6997
